,thn_bln,jual
0,2016-09,267.36
1,2016-10,49507.66
2,2016-12,10.9
3,2017-01,120312.87
4,2017-02,247303.02
5,2017-03,374344.3
6,2017-04,359927.23
7,2017-05,506071.14
8,2017-06,433038.6
9,2017-07,498031.48
10,2017-08,573971.68
11,2017-09,624401.6900000001
12,2017-10,664219.43
13,2017-11,1010271.37
14,2017-12,743914.17
15,2018-01,950030.36
16,2018-02,844178.71
17,2018-03,983213.4400000001
18,2018-04,996647.75
19,2018-05,996517.68
20,2018-06,865124.31
21,2018-07,895507.22
22,2018-08,854686.33
23,2018-09,145.0
